,year,player,squad,position,age,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
0,2019,Patrick van Aanholt,Crystal Palace,DF,28,29,29,"2,507",3,2,1,1,0,0,0.11,0.18,0.07,0.14
1,2019,Max Aarons,Norwich City,DF,19,36,36,"3,240",0,1,0,0,7,0,0.00,0.03,0.00,0.03
2,2019,Tammy Abraham,Chelsea,FW,21,34,25,"2,215",15,3,0,0,2,0,0.61,0.73,0.61,0.73
3,2019,Che Adams,Southampton,FW,23,30,12,"1,111",4,2,0,0,0,0,0.32,0.49,0.32,0.49
4,2019,Adrián,Liverpool,GK,32,11,9,875,0,0,0,0,1,0,0.00,0.00,0.00,0.00
5,2019,Sergio Agüero,Manchester City,FW,31,24,18,"1,452",16,3,2,3,1,0,0.99,1.18,0.87,1.05
6,2019,Albian Ajeti,West Ham,"MF,FW",22,9,0,139,0,0,0,0,0,0,0.00,0.00,0.00,0.00
7,2019,Nathan Aké,Bournemouth,DF,24,29,29,"2,503",2,2,0,0,2,0,0.07,0.14,0.07,0.14
8,2019,Marc Albrighton,Leicester City,"MF,DF",29,20,9,867,0,3,0,0,2,0,0.00,0.31,0.00,0.31
9,2019,Toby Alderweireld,Tottenham,DF,30,33,33,"2,957",2,2,0,0,7,0,0.06,0.12,0.06,0.12
10,2019,Trent Alexander-Arnold,Liverpool,DF,20,38,35,"3,175",4,13,0,0,5,0,0.11,0.48,0.11,0.48
11,2019,Alisson,Liverpool,GK,26,29,29,"2,543",0,1,0,0,0,1,0.00,0.04,0.00,0.04
12,2019,Dele Alli,Tottenham,"MF,FW",23,25,21,"1,847",8,4,1,1,2,0,0.39,0.58,0.34,0.54
13,2019,Miguel Almirón,Newcastle Utd,"MF,FW",25,36,35,"3,021",4,2,0,0,5,0,0.12,0.18,0.12,0.18
14,2019,Marcos Alonso,Chelsea,DF,28,18,15,"1,430",4,2,0,0,4,0,0.25,0.38,0.25,0.38
15,2019,Steven Alzate,Brighton,"MF,DF",20,19,12,"1,188",0,0,0,0,1,0,0.00,0.00,0.00,0.00
16,2019,Ibrahim Amadou,Norwich City,"DF,MF",26,11,8,759,0,0,0,0,1,0,0.00,0.00,0.00,0.00
17,2019,Felipe Anderson,West Ham,"MF,FW",26,25,20,"1,497",1,4,0,0,1,0,0.06,0.30,0.06,0.30
18,2019,Florin Andone,Brighton,"MF,FW",26,3,1,73,1,0,0,0,0,1,1.23,1.23,1.23,1.23
19,2019,Angeliño,Manchester City,DF,22,6,4,423,0,0,0,0,1,0,0.00,0.00,0.00,0.00
20,2019,Faustino Anjorin,Chelsea,FW,17,1,0,20,0,0,0,0,0,0,0.00,0.00,0.00,0.00
21,2019,Michail Antonio,West Ham,FW,29,24,19,"1,768",10,3,1,1,3,0,0.51,0.66,0.46,0.61
22,2019,Stuart Armstrong,Southampton,MF,27,30,19,"1,715",5,3,0,0,4,0,0.26,0.42,0.26,0.42
23,2019,Kepa Arrizabalaga,Chelsea,GK,24,33,33,"2,970",0,0,0,0,0,0,0.00,0.00,0.00,0.00
24,2019,Christian Atsu,Newcastle Utd,"FW,MF",27,19,6,749,0,3,0,0,2,0,0.00,0.36,0.00,0.36
25,2019,Pierre-Emerick Aubameyang,Arsenal,FW,30,36,35,"3,136",22,3,2,2,3,1,0.63,0.72,0.57,0.66
26,2019,Serge Aurier,Tottenham,DF,26,33,31,"2,700",1,5,0,0,4,1,0.03,0.20,0.03,0.20
27,2019,Jordan Ayew,Crystal Palace,"FW,MF",27,37,37,"3,148",9,2,0,0,6,0,0.26,0.31,0.26,0.31
28,2019,César Azpilicueta,Chelsea,DF,29,36,36,"3,229",2,6,0,0,1,0,0.06,0.22,0.06,0.22
29,2019,Eric Bailly,Manchester Utd,DF,25,4,1,150,0,0,0,0,0,0,0.00,0.00,0.00,0.00
30,2019,Leighton Baines,Everton,DF,34,8,4,404,0,0,0,0,0,0,0.00,0.00,0.00,0.00
31,2019,Fabián Balbuena,West Ham,DF,27,17,13,"1,177",1,0,0,0,2,0,0.08,0.08,0.08,0.08
32,2019,George Baldock,Sheffield Utd,DF,26,38,38,"3,420",2,3,0,0,7,0,0.05,0.13,0.05,0.13
33,2019,Phil Bardsley,Burnley,DF,34,21,21,"1,890",0,1,0,0,6,0,0.00,0.05,0.00,0.05
34,2019,Ross Barkley,Chelsea,MF,25,21,13,"1,103",1,4,0,0,0,0,0.08,0.41,0.08,0.41
35,2019,Ashley Barnes,Burnley,FW,29,19,17,"1,352",6,0,1,1,4,0,0.40,0.40,0.33,0.33
36,2019,Harvey Barnes,Leicester City,"MF,FW",21,36,24,"2,083",6,8,0,0,0,0,0.26,0.60,0.26,0.60
37,2019,Chris Basham,Sheffield Utd,DF,31,38,38,"3,242",0,1,0,0,4,0,0.00,0.03,0.00,0.03
