"Year","Team","Players","Position","Base.Salary","Base.Num"
"2017","arsenal Fc","Alexandre Lacazette","F","9467273",9.467273
"2017","arsenal Fc","Mesut Ozil","M","9100000",9.1
"2017","arsenal Fc","Alexis Sanchez","F","7280000",7.28
"2017","arsenal Fc","Danny Welbeck","F","6500000",6.5
"2017","arsenal Fc","Henrikh Mkhitaryan","M","6240000",6.24
"2017","arsenal Fc","Aaron Ramsey","M","6240000",6.24
"2017","arsenal Fc","Sead Kolasinac","D","6214000",6.214
"2017","arsenal Fc","Hector Bellerin","D","5200000",5.2
"2017","arsenal Fc","Santi Cazorla","M","5200000",5.2
"2017","arsenal Fc","Petr Cech","GK","5200000",5.2
"2017","arsenal Fc","Pierre-Emerick Aubameyang","F","4680000",4.68
"2017","arsenal Fc","Laurent Koscielny","D","4680000",4.68
"2017","arsenal Fc","Per Mertesacker","D","4680000",4.68
"2017","arsenal Fc","Shkodran Mustafi","D","4680000",4.68
"2017","arsenal Fc","Jack Wilshere","M","4680000",4.68
"2017","arsenal Fc","Granit Xhaka","M","4680000",4.68
"2017","arsenal Fc","Mathieu Debuchy","D","3900000",3.9
"2017","arsenal Fc","Nacho Monreal","D","3380000",3.38
"2017","arsenal Fc","Mohamed Elneny","M","2860000",2.86
"2017","arsenal Fc","Calum Chambers","D","2600000",2.6
"2017","arsenal Fc","Edward Nketiah","F","2340000",2.34
"2017","arsenal Fc","David Ospina","GK","2080000",2.08
"2017","arsenal Fc","Alex Iwobi","F","1560000",1.56
"2017","arsenal Fc","Rob Holding","D","1300000",1.3
"2017","arsenal Fc","Chuba Akpom","F","1040000",1.04
"2017","arsenal Fc","Emiliano Martinez","GK","1040000",1.04
"2017","arsenal Fc","Konstantinos Mavropanos","D","650000",0.65
"2017","arsenal Fc","Ainsley Maitland-Niles","M","208000",0.208
"2017","arsenal Fc","Jeff Reine-Adelaide","M","104000",0.104
"2017","aston Villa Fc","John Terry","D","3120000",3.12
"2017","aston Villa Fc","Henri Lansbury","M","2080000",2.08
"2017","aston Villa Fc","Robert Snodgrass","M","2080000",2.08
"2017","aston Villa Fc","Jonathan Kodjia","F","1820000",1.82
"2017","aston Villa Fc","Neil Taylor","D","1664000",1.664
"2017","aston Villa Fc","James Chester","D","1560000",1.56
"2017","aston Villa Fc","Joshua Onomah","M","1560000",1.56
"2017","aston Villa Fc","Ahmed Elmohamady","M","1300000",1.3
"2017","aston Villa Fc","Scott Hogan","F","910000",0.91
"2017","aston Villa Fc","Keinan Davis","F","260000",0.26
"2017","aston Villa Fc","Axel Tuanzebe","D","260000",0.26
"2017","aston Villa Fc","Rushian Hepburn-Murphy","F",NA,NA
"2017","aston Villa Fc","Christopher Samba","D",NA,NA
"2017","aston Villa Fc","Glenn Whelan","M",NA,NA
"2017","brighton Hove Albion","Jose Izquierdo","F","2340000",2.34
"2017","brighton Hove Albion","Davy Propper","M","2340000",2.34
"2017","brighton Hove Albion","Lewis Dunk","D","1820000",1.82
"2017","brighton Hove Albion","Anthony Knockaert","F","1820000",1.82
"2017","brighton Hove Albion","Tim Krul","GK","1820000",1.82
"2017","brighton Hove Albion","Mathew Ryan","GK","1820000",1.82
"2017","brighton Hove Albion","Ezequiel Schelotto","D","1664000",1.664
"2017","brighton Hove Albion","Shane Duffy","D","1560000",1.56
"2017","brighton Hove Albion","Pascal Gross","M","1560000",1.56
"2017","brighton Hove Albion","Glenn Murray","F","1560000",1.56
"2017","brighton Hove Albion","Bruno Saltor Grau","D","1560000",1.56
"2017","brighton Hove Albion","Dale Stephens","M","1560000",1.56
"2017","brighton Hove Albion","Leonardo Ulloa","F","1560000",1.56
