Year,Team,Players,Position,BaseSalary,BaseNum,GK_Score,D_tackles_won_pct,D_interceptions,D_clearances,D_pressure_regain_pct,M_passes,M_passes_pct,F_goals,F_shots_on_target_pct
2019,arsenal Fc,Mesut Ozil,M,18200000,18.2,,0.769230769,3,3,20.7,891,84.6,0,0
2019,arsenal Fc,Pierre-Emerick Aubameyang,F,10400000,10.4,,0.615384615,9,16,22.7,888,68.9,22,44.4
2019,arsenal Fc,Alexandre Lacazette,F,9467273,9.467273,,0.826086957,10,14,24.6,499,77.6,10,49.1
2019,arsenal Fc,Nicolas Pepe,F,7280000,7.28,,0.633333333,10,3,25.1,803,76.7,5,32.7
2019,arsenal Fc,David Luiz,D,6535000,6.535,,0.606060606,19,183,34.6,1713,86.5,2,30.4
2019,arsenal Fc,Hector Bellerin,D,5720000,5.72,,0.695652174,10,34,25.1,686,81.3,0,0
2019,arsenal Fc,Sead Kolasinac,D,5200000,5.2,,0.514285714,15,45,29.1,1031,84.3,0,0
2019,arsenal Fc,Granit Xhaka,M,5200000,5.2,,0.586956522,11,85,29.1,1886,87.8,1,27.3
2019,arsenal Fc,Sokratis Papastathopoulos,D,4784000,4.784,,0.565217391,3,108,28.2,973,89.7,0,0
2019,arsenal Fc,Gabriel Martinelli,F,4680000,4.68,,0.565217391,2,7,27.9,138,62.3,3,41.7
2019,arsenal Fc,Shkodran Mustafi,D,4680000,4.68,,0.642857143,8,111,33.3,790,83.9,0,27.3
2019,arsenal Fc,Kieran Tierney,D,4200000,4.2,,0.523809524,10,44,31,544,76.1,0,0
2019,arsenal Fc,Lucas Torreira,M,3900000,3.9,,0.648648649,24,30,25.3,906,87.5,1,28.6
2019,arsenal Fc,Dani Ceballos,M,2700000,2.7,,0.571428571,20,22,27,1301,84.2,0,23.1
2019,arsenal Fc,Calum Chambers,D,2600000,2.6,,0.72,13,61,35.7,865,81.2,1,16.7
2019,arsenal Fc,Edward Nketiah,F,2340000,2.34,,0.7,5,4,23.9,140,79.3,2,33.3
2019,arsenal Fc,Matteo Guendouzi,M,2080000,2.08,,0.541666667,22,48,28.4,1144,89,0,45.5
2019,arsenal Fc,Ainsley Maitland-Niles,M,1820000,1.82,,0.658536585,17,41,28.3,999,82.6,0,0
2019,arsenal Fc,Rob Holding,D,1300000,1.3,,0,0,0,0,338,86.4,0,0
2019,arsenal Fc,Konstantinos Mavropanos,D,1300000,1.3,,0,0,0,0,0,0,0,0
2019,arsenal Fc,Joe Willock,M,1040000,1.04,,0.681818182,6,12,27.7,368,81.3,1,28.6
2019,arsenal Fc,Dejan Iliev,GK,0,0,0,0,0,0,0,0,0,0,0
2019,arsenal Fc,Emiliano Martínez,GK,1040000,1.04,0.974169742,0,0,0,0,0,0,0,0
2019,arsenal Fc,Bernd Leno,GK,5200000,5.2,0.967281673,0,0,0,0,0,0,0,0
2019,aston Villa Fc,Bjorn Engels,D,2860000,2.86,,0,0,0,0,605,83.1,0,0
2019,aston Villa Fc,Frederic Guilbert,D,2080000,2.08,,0.463414634,30,87,27.6,1026,67,0,0
2019,aston Villa Fc,Henri Lansbury,M,2080000,2.08,,0,0,0,0,0,0,0,0
2019,aston Villa Fc,Mbwana Samatta,F,2080000,2.08,,0,0,0,0,179,70.9,1,17.6
2019,aston Villa Fc,Jack Grealish,M,1820000,1.82,,0.777777778,15,13,26.8,1538,79.1,8,30.6
2019,aston Villa Fc,Wesley Moraes,F,1820000,1.82,,0.714285714,5,26,24.9,377,73.5,5,48.6
2019,aston Villa Fc,Matt Targett,D,1820000,1.82,,0.578947368,21,88,29.3,1219,73.3,0,0
2019,aston Villa Fc,Douglas Luiz,M,1709396,1.709396,,0.634615385,21,44,26.2,1216,80.9,3,30.8
2019,aston Villa Fc,Mahmoud Hassan,F,1690000,1.69,,0,0,0,0,445,66.3,6,34
2019,aston Villa Fc,Marvelous Nakamba,M,1690000,1.69,,0.723076923,28,34,34.2,792,84.5,0,0
2019,aston Villa Fc,Neil Taylor,D,1664000,1.664,,0.5,11,32,27.3,513,79.9,0,0
2019,aston Villa Fc,Anwar El Ghazi,F,1610000,1.61,,0.588235294,11,12,21.1,615,65.4,4,38
2019,aston Villa Fc,James Chester,D,1560000,1.56,,0,0,0,0,0,0,0,0
2019,aston Villa Fc,Conor Hourihane,M,1560000,1.56,,0.666666667,3,24,17,721,75.2,3,34.5
2019,aston Villa Fc,Ahmed Elmohamady,M,1300000,1.3,,0.68,6,29,25.7,633,76.5,0,0
2019,aston Villa Fc,Jose Ignacio Peleteiro Ramallo,F,1300000,1.3,,0,0,0,0,0,0,0,0
2019,aston Villa Fc,John McGinn,M,1300000,1.3,,0.689655172,20,20,28.3,772,75.6,3,34.5
2019,aston Villa Fc,Tyrone Mings,D,1300000,1.3,,0.68,20,223,41.3,1333,79.1,0,0
2019,aston Villa Fc,Jota Peleteiro,M,1300000,1.3,,0,0,0,0,0,0,0,0
2019,aston Villa Fc,Lovre Kalinic,GK,817000,0.817,,0,0,0,0,0,0,0,0
2019,aston Villa Fc,Kortney Hause,D,416000,0.416,,0.814814815,11,114,40.1,789,74.9,1,15
2019,aston Villa Fc,Ezri Konsa,D,416000,0.416,,0.666666667,14,83,32.6,853,79,1,36.4
2019,aston Villa Fc,Jed Steer,GK,416000,0.416,,0,0,0,0,0,0,0,0
2019,aston Villa Fc,Keinan Davis,F,260000,0.26,,0,0,0,0,142,75.4,0,31.3
2019,aston Villa Fc,Borja Bastón,F,0,0,0,0,0,0,0,0,0,0,0
2019,aston Villa Fc,Tom Heaton,GK,2184000,2.184,0.956703567,0,0,0,0,0,0,0,0
2019,aston Villa Fc,Orjan Nyland,GK,1040000,1.04,0.950799508,0,0,0,0,0,0,0,0
2019,brighton Hove Albion,Pascal Gross,M,2600000,2.6,,0.636363636,9,11,26.1,1028,74.1,2,31
2019,brighton Hove Albion,Alireza Jahanbakhsh,F,2600000,2.6,,0,0,0,0,140,60,2,18.2
2019,brighton Hove Albion,Neal Maupay,F,2600000,2.6,,0.607142857,3,7,26.3,688,78.5,10,37.8
2019,brighton Hove Albion,Martin Montoya,D,2600000,2.6,,0,0,0,0,1255,80.2,0,0
2019,brighton Hove Albion,Adam Webster,D,2600000,2.6,,0.675675676,34,182,38.7,1824,84.8,3,43.8
2019,brighton Hove Albion,Lewis Dunk,D,2340000,2.34,,0.651162791,36,162,43.1,2192,87.3,3,33.3
2019,brighton Hove Albion,Jose Izquierdo,F,2340000,2.34,,0,0,0,0,0,0,0,0
2019,brighton Hove Albion,Davy Propper,M,2340000,2.34,,0.655172414,32,43,29.8,1785,83.1,1,25.8
2019,brighton Hove Albion,Shane Duffy,D,2080000,2.08,,0.5625,13,116,34,613,84,0,0
2019,brighton Hove Albion,Tariq Lamptey,D,1820000,1.82,,0,0,0,0,235,73.6,0,0
2019,brighton Hove Albion,Leandro Trossard,F,1820000,1.82,,0.571428571,10,5,26.8,795,71.3,5,31
2019,brighton Hove Albion,Ezequiel Schelotto,D,1664000,1.664,,0,0,0,0,169,71.6,0,0
2019,brighton Hove Albion,Alexis Mac Allister,M,1600000,1.6,,0,0,0,0,130,64.6,0,0
2019,brighton Hove Albion,Solly March,M,1560000,1.56,,0.653846154,12,19,27.8,601,72.4,0,38.1
2019,brighton Hove Albion,Glenn Murray,F,1560000,1.56,,0,0,0,0,177,65.5,1,23.5
2019,brighton Hove Albion,Dale Stephens,M,1560000,1.56,,0.526315789,39,46,32.3,1641,86.6,0,11.1
2019,brighton Hove Albion,Yves Bissouma,M,1300000,1.3,,0.620689655,16,22,29.2,622,84.4,1,37.5
2019,brighton Hove Albion,Bernardo Fernandes da Silva Junior,M,1300000,1.3,,0,0,0,0,383,74.7,0,0
2019,brighton Hove Albion,Gaetan Bong,D,1050000,1.05,,0,0,0,0,0,0,0,0
2019,brighton Hove Albion,Leon Balogun,D,950000,0.95,,0,0,0,0,0,0,0,0
2019,brighton Hove Albion,David Button,GK,833333,0.833333,,0,0,0,0,0,0,0,0
2019,brighton Hove Albion,Jason Steele,GK,833333,0.833333,,0,0,0,0,0,0,0,0
2019,brighton Hove Albion,Dan Burn,D,832000,0.832,,0.571428571,26,148,35.3,1841,75.4,0,0
2019,brighton Hove Albion,Soufyan Ahannach,F,520000,0.52,,0,0,0,0,0,0,0,0
