Year,Team,Players,Position,Base.Salary,Base.Num
2019,arsenal Fc,Mesut Ozil,M,18200000,18.2
2019,arsenal Fc,Pierre-Emerick Aubameyang,F,10400000,10.4
2019,arsenal Fc,Alexandre Lacazette,F,9467273,9.467273
2019,arsenal Fc,Nicolas Pepe,F,7280000,7.28
2019,arsenal Fc,David Luiz,D,6535000,6.535
2019,arsenal Fc,Hector Bellerin,D,5720000,5.72
2019,arsenal Fc,Sead Kolasinac,D,5200000,5.2
2019,arsenal Fc,Granit Xhaka,M,5200000,5.2
2019,arsenal Fc,Sokratis Papastathopoulos,D,4784000,4.784
2019,arsenal Fc,Gabriel Martinelli,F,4680000,4.68
2019,arsenal Fc,Shkodran Mustafi,D,4680000,4.68
2019,arsenal Fc,Kieran Tierney,D,4200000,4.2
2019,arsenal Fc,Lucas Torreira,M,3900000,3.9
2019,arsenal Fc,Dani Ceballos,M,2700000,2.7
2019,arsenal Fc,Calum Chambers,D,2600000,2.6
2019,arsenal Fc,Edward Nketiah,F,2340000,2.34
2019,arsenal Fc,Matteo Guendouzi,M,2080000,2.08
2019,arsenal Fc,Ainsley Maitland-Niles,M,1820000,1.82
2019,arsenal Fc,Rob Holding,D,1300000,1.3
2019,arsenal Fc,Konstantinos Mavropanos,D,1300000,1.3
2019,arsenal Fc,Joe Willock,M,1040000,1.04
2019,arsenal Fc,Dejan Iliev,GK,0,0
2019,arsenal Fc,Emiliano Martínez,GK,"1,040,000",1.04
2019,arsenal Fc,Bernd Leno,GK,"5,200,000",5.2
2019,aston Villa Fc,Bjorn Engels,D,2860000,2.86
2019,aston Villa Fc,Frederic Guilbert,D,2080000,2.08
2019,aston Villa Fc,Henri Lansbury,M,2080000,2.08
2019,aston Villa Fc,Mbwana Samatta,F,2080000,2.08
2019,aston Villa Fc,Jack Grealish,M,1820000,1.82
2019,aston Villa Fc,Wesley Moraes,F,1820000,1.82
2019,aston Villa Fc,Matt Targett,D,1820000,1.82
2019,aston Villa Fc,Douglas Luiz,M,1709396,1.709396
2019,aston Villa Fc,Mahmoud Hassan,F,1690000,1.69
2019,aston Villa Fc,Marvelous Nakamba,M,1690000,1.69
2019,aston Villa Fc,Neil Taylor,D,1664000,1.664
2019,aston Villa Fc,Anwar El Ghazi,F,1610000,1.61
2019,aston Villa Fc,James Chester,D,1560000,1.56
2019,aston Villa Fc,Conor Hourihane,M,1560000,1.56
2019,aston Villa Fc,Ahmed Elmohamady,M,1300000,1.3
2019,aston Villa Fc,Jose Ignacio Peleteiro Ramallo,F,1300000,1.3
2019,aston Villa Fc,John McGinn,M,1300000,1.3
2019,aston Villa Fc,Tyrone Mings,D,1300000,1.3
2019,aston Villa Fc,Jota Peleteiro,M,1300000,1.3
2019,aston Villa Fc,Lovre Kalinic,GK,817000,0.817
2019,aston Villa Fc,Kortney Hause,D,416000,0.416
2019,aston Villa Fc,Ezri Konsa,D,416000,0.416
2019,aston Villa Fc,Jed Steer,GK,416000,0.416
2019,aston Villa Fc,Keinan Davis,F,260000,0.26
2019,aston Villa Fc,Borja Bastón,F,0,0
2019,aston Villa Fc,Tom Heaton,GK,"2,184,000",2.184
2019,aston Villa Fc,Orjan Nyland,GK,"1,040,000",1.04
2019,brighton Hove Albion,Pascal Gross,M,2600000,2.6
2019,brighton Hove Albion,Alireza Jahanbakhsh,F,2600000,2.6
2019,brighton Hove Albion,Neal Maupay,F,2600000,2.6
2019,brighton Hove Albion,Martin Montoya,D,2600000,2.6
2019,brighton Hove Albion,Adam Webster,D,2600000,2.6
2019,brighton Hove Albion,Lewis Dunk,D,2340000,2.34
2019,brighton Hove Albion,Jose Izquierdo,F,2340000,2.34
2019,brighton Hove Albion,Davy Propper,M,2340000,2.34
2019,brighton Hove Albion,Shane Duffy,D,2080000,2.08
2019,brighton Hove Albion,Tariq Lamptey,D,1820000,1.82
2019,brighton Hove Albion,Leandro Trossard,F,1820000,1.82
2019,brighton Hove Albion,Ezequiel Schelotto,D,1664000,1.664
